sensor_id,node_id,type,name
"5894","541150","INT","corridor/ambience/motion"                    
"5895","541151","INT","bathroom/ambience/motion"                    
"7125","542381","INT","bathroom/ambience/light"                     
"5896","541152","INT","bedroom/bed/pressure"                        
"6127","541383","INT","livingroom/tv/light"                         
"6220","541444","INT","balcon/door/contact"                         
"6253","541509","INT","kitchen/fridge/contact"                      
"6632","541888","FLOAT","kitchen/coffeemaker/current"               
"6633","541889","FLOAT","kitchen/sandwichmaker/current"             
"6634","541890","FLOAT","kitchen/dishwasher/current"                
"6635","541891","FLOAT","kitchen/kettle/current"                    
"6636","541892","FLOAT","bathroom/washingmachine/current"           
"6896","542152","FLOAT","kitchen/microwave/current"                 
"6686","541885","INT","bedroom/ambience_under_the_bed/motion"       
"6687","541883","INT","bedroom/weightscale/pressure"                
"7139","542395","FLOAT","corridor/ilifeRobot/current"               
"6222","541141","FLOAT","bathroom/ambience/humidity"                
"6223","541141","FLOAT","bathroom/ambience/temperature"             
"5887","541143","INT","kitchen/stove/light"                         
"5888","541144","INT","entrance/door/contact"                       
"5889","541145","INT","livingroom/couch/pressure"                   
"5891","541147","INT","livingroom/ambience/motion"                  
"5892","541148","INT","bedroom/ambience/motion"                     
"5893","541149","INT","kitchen/ambience/motion"                     
